Employee_ID,Department,Age,Salary,Projects_Completed,Working_Hours,Performance_Score,Promotion_Status
1,Marketing,42,45211,3,46.1,63.7,No
2,Operations,23,68408,7,45.8,76.1,Yes
3,Finance,59,32473,2,60.0,62.3,Yes
4,Operations,57,53213,6,44.7,38.8,No
5,Operations,58,60277,4,29.8,79.5,No
6,IT,36,33995,6,42.0,53.5,Yes
7,Finance,49,57812,4,45.5,71.1,Yes
8,Finance,39,66453,5,34.9,72.6,Yes
9,Finance,55,37173,6,43.1,58.6,Yes
10,Operations,43,74898,2,43.2,51.3,No
11,Marketing,32,42882,9,59.2,57.8,Yes
12,Finance,34,61896,2,39.6,88.9,No
13,Operations,25,53996,5,52.6,50.8,No
14,IT,43,55834,5,43.8,48.5,Yes
15,Marketing,28,39598,2,51.9,67.9,Yes
16,IT,45,70125,5,56.2,61.8,No
17,Marketing,25,58910,10,48.0,58.9,No
18,Operations,49,74450,2,44.5,51.5,Yes
19,HR,36,39910,4,54.2,64.7,No
20,Marketing,22,52825,6,33.3,62.6,No
21,IT,24,57514,7,46.4,85.1,Yes
22,Operations,35,55724,7,35.0,51.7,Yes
23,Marketing,59,63001,3,51.4,57.7,Yes
24,HR,22,52672,6,45.8,84.3,No
25,HR,59,80464,9,44.4,57.2,Yes
26,Finance,59,55478,6,42.0,54.2,Yes
27,Finance,42,25000,8,50.4,71.7,Yes
28,IT,50,56010,7,30.7,67.4,No
29,Marketing,26,70137,4,60.2,60.4,Yes
30,Marketing,31,43920,3,43.9,66.1,No
31,Finance,49,43158,10,34.6,72.1,Yes
32,Marketing,42,44915,4,24.0,67.4,No
33,Marketing,28,42082,3,43.7,73.7,No
34,HR,24,49247,10,46.8,62.2,Yes
35,Finance,41,65911,12,47.4,49.6,Yes
36,Operations,40,73315,2,33.4,73.5,Yes
37,Finance,56,25908,3,35.2,60.9,Yes
38,Operations,25,50458,2,55.8,60.5,No
39,HR,26,58632,8,32.6,76.2,Yes
40,IT,22,57432,3,45.9,89.9,No
41,Marketing,25,77799,7,41.9,39.8,Yes
42,HR,33,30871,5,40.7,60.3,Yes
43,Marketing,48,25000,6,42.8,63.8,Yes
44,IT,44,79746,2,40.7,66.6,Yes
45,IT,46,64041,4,40.4,62.3,Yes
46,HR,42,48143,9,53.0,63.7,No
47,IT,45,57059,7,41.8,70.5,Yes
48,Operations,46,57918,4,35.3,62.1,No
49,IT,53,47853,3,44.3,57.0,No
50,Marketing,53,56701,1,36.5,56.6,No
51,Marketing,26,59257,5,36.3,84.9,No
52,Marketing,57,79186,2,56.6,94.7,No
53,Marketing,37,66561,7,43.5,59.9,Yes
54,Operations,54,75871,6,34.8,60.2,Yes
55,Finance,42,38877,4,44.2,70.9,No
56,HR,30,50833,6,45.5,67.0,Yes
57,Marketing,27,57906,4,43.3,62.8,No
58,IT,56,31946,4,41.1,46.2,Yes
59,Marketing,43,69182,5,33.9,52.8,No
60,IT,26,62706,4,41.7,75.4,No
61,IT,44,50594,6,38.6,60.8,No
62,Marketing,38,52799,9,44.0,94.5,No
63,Operations,33,70046,4,48.4,93.9,Yes
64,IT,44,45454,3,59.0,51.2,Yes
65,IT,37,70530,6,51.2,84.8,No
66,Marketing,24,51975,5,23.3,63.0,No
67,IT,51,64071,6,46.8,67.2,No
68,IT,43,56041,2,57.1,75.5,No
69,Marketing,30,81798,3,43.9,80.0,Yes
70,Marketing,50,44351,1,57.4,54.2,No
71,HR,58,48120,5,36.2,97.8,No
72,Operations,44,36926,7,38.0,69.2,Yes
73,Operations,34,41838,3,43.6,35.4,No
74,IT,53,63557,3,43.8,61.1,Yes
75,Operations,44,74201,8,51.7,96.7,Yes
76,IT,38,64917,3,45.0,56.1,No
77,HR,42,54935,1,44.1,99.3,Yes
78,Marketing,23,44276,5,64.8,66.9,Yes
79,Marketing,58,65781,12,38.8,64.9,Yes
80,Marketing,27,43616,4,55.3,49.3,No
81,Operations,39,38812,6,48.3,74.3,No
82,HR,51,51298,3,42.1,60.1,Yes
83,Operations,43,30592,6,47.1,64.7,Yes
84,Operations,54,38423,8,38.5,61.8,No
85,HR,51,77631,7,45.7,77.6,Yes
86,HR,38,36198,5,45.0,61.9,Yes
87,HR,53,40742,3,48.8,27.4,No
88,HR,35,55861,5,44.1,52.3,No
89,Marketing,31,56486,11,58.3,45.2,Yes
90,Finance,57,52184,3,37.9,87.2,No
91,Finance,55,30959,16,39.5,74.0,Yes
92,HR,30,65181,5,46.9,65.7,Yes
93,Finance,49,49683,0,38.6,62.1,Yes
94,Finance,32,69645,5,50.4,43.8,No
95,HR,35,47262,5,55.5,61.6,No
96,Finance,40,66789,3,40.8,79.3,Yes
97,Operations,36,70553,1,45.7,77.3,Yes
98,IT,49,49396,4,50.2,71.4,Yes
99,IT,45,65565,5,52.1,44.1,Yes
100,HR,29,39057,2,72.8,54.0,No
101,Marketing,30,58164,4,34.1,70.6,No
102,HR,54,69666,7,57.0,47.8,No
103,Marketing,54,61221,4,39.9,75.8,No
104,IT,40,83874,6,40.2,45.0,No
105,HR,24,61892,6,46.1,48.5,Yes
106,Operations,31,50616,7,45.5,45.1,Yes
107,Finance,22,89090,8,55.0,57.6,No
108,Marketing,50,74604,4,33.2,42.2,No
109,Finance,55,35765,6,21.2,57.7,No
110,Finance,34,45590,5,60.5,51.3,No
111,HR,22,42542,6,33.5,54.7,Yes
112,Finance,55,62747,4,53.0,75.0,Yes
113,Operations,50,61853,2,56.2,64.8,No
114,Finance,34,61761,2,54.1,75.0,No
115,HR,50,35441,10,49.1,98.3,No
116,Operations,45,47342,2,51.0,39.7,No
117,IT,47,53208,4,40.8,56.8,Yes
118,Finance,38,33136,8,29.7,49.6,Yes
119,HR,28,44538,3,42.2,54.6,No
120,IT,34,71277,12,40.7,70.6,No
121,IT,26,36351,2,37.4,91.5,Yes
122,Marketing,47,72463,3,45.4,74.7,Yes
123,Operations,24,68093,7,29.4,72.3,Yes
124,Finance,28,51511,3,55.0,80.6,No
125,HR,22,47213,6,44.4,87.4,No
126,Marketing,38,64981,4,41.0,92.0,No
127,Operations,46,45547,4,42.5,72.3,Yes
128,Marketing,24,46144,0,43.7,50.6,No
129,Operations,36,54713,9,36.7,59.9,Yes
130,Operations,50,29437,5,36.7,34.2,No
131,Finance,53,37600,1,34.5,76.5,No
132,Operations,47,51212,5,33.6,52.2,Yes
133,Marketing,37,60708,3,38.2,54.3,Yes
134,Operations,46,45381,3,43.8,70.3,No
135,Finance,49,52628,7,53.8,35.8,No
136,Finance,30,35638,9,32.4,80.5,No
137,Marketing,22,66189,5,52.3,73.3,Yes
138,IT,50,57640,5,32.1,58.5,No
139,IT,43,58702,4,45.8,64.3,No
140,Operations,37,60859,2,32.9,54.9,Yes
141,HR,28,55937,6,34.9,100.0,Yes
142,Operations,35,49194,8,47.5,51.2,Yes
143,Marketing,50,68555,6,47.4,69.8,Yes
144,Marketing,40,56882,4,51.0,61.1,Yes
145,Marketing,40,53011,7,37.5,65.8,No
146,Marketing,23,54896,7,53.0,72.7,Yes
147,Marketing,36,54640,5,57.5,73.3,Yes
148,Finance,24,52890,6,46.9,59.6,Yes
149,IT,32,60353,5,30.7,47.6,No
150,Marketing,51,43769,5,29.6,54.0,No
151,HR,39,44646,8,46.2,58.1,Yes
152,HR,23,61711,7,40.4,56.0,Yes
153,HR,53,53257,4,37.0,49.4,Yes
154,HR,29,66656,3,43.7,71.7,Yes
155,Finance,43,59906,6,42.1,44.7,No
156,HR,27,48368,4,43.7,64.2,Yes
157,Marketing,33,61901,8,38.0,40.5,No
158,Operations,57,69366,4,60.8,81.4,Yes
159,HR,36,60363,4,36.3,55.8,No
160,Finance,49,62987,12,42.8,54.1,Yes
161,Finance,39,52938,3,28.7,51.6,No
162,HR,23,66916,4,35.7,90.6,No
163,Operations,34,48031,4,34.6,84.9,No
164,HR,36,59062,4,40.7,65.8,No
165,Finance,41,85834,3,43.0,57.5,Yes
166,IT,50,61466,3,41.6,96.1,Yes
167,Marketing,50,49951,6,40.6,72.5,No
168,Finance,24,49920,6,46.7,61.2,No
169,HR,40,54143,5,47.3,56.6,Yes
170,Marketing,24,65214,6,25.9,77.3,No
171,HR,35,56749,4,53.5,61.7,No
172,HR,25,47217,6,47.1,44.9,Yes
173,IT,32,47196,5,29.3,67.6,Yes
174,Marketing,52,56824,4,52.2,68.6,Yes
175,Marketing,53,55508,3,53.2,65.7,Yes
176,IT,48,60459,3,29.1,72.6,No
177,Finance,51,66009,5,42.5,60.1,Yes
178,HR,23,87728,2,47.1,65.1,No
179,Operations,30,37455,3,53.6,64.9,No
180,HR,49,63242,3,48.9,44.9,No
181,HR,52,56179,3,40.5,75.5,No
182,Finance,55,32865,8,36.3,73.3,No
183,HR,36,69994,3,33.2,79.8,No
184,IT,46,60054,4,37.6,49.9,Yes
185,IT,57,64597,9,49.3,58.7,Yes
186,Marketing,29,34606,5,52.4,81.6,No
187,Operations,30,52354,5,42.0,56.4,Yes
188,HR,58,42049,4,53.8,91.9,Yes
189,HR,53,80957,4,48.3,41.6,No
190,Finance,38,68734,1,65.2,56.5,Yes
191,IT,56,46828,2,30.3,58.0,No
192,Operations,58,36560,7,43.3,76.5,Yes
193,Marketing,40,57328,4,46.7,90.0,Yes
194,IT,50,68109,5,59.8,69.6,No
195,Marketing,28,34179,6,33.4,25.7,No
196,Finance,49,43818,6,37.3,63.8,No
197,Finance,30,41732,6,45.4,66.8,Yes
198,HR,49,65403,5,35.2,70.9,Yes
199,Operations,27,50562,7,43.0,63.8,Yes
200,Marketing,50,51064,7,31.9,84.6,Yes
201,IT,38,57095,5,54.6,51.7,No
202,Finance,37,44460,3,58.4,49.5,No
203,HR,44,37675,10,58.7,55.8,No
204,HR,52,71436,3,46.2,100.0,Yes
205,Marketing,24,72549,8,46.4,62.3,Yes
206,Finance,42,57154,4,44.9,82.2,Yes
207,Operations,47,58025,3,51.9,81.9,Yes
208,Finance,57,70132,7,55.1,39.2,Yes
209,Marketing,58,56879,5,50.7,64.2,Yes
210,Marketing,43,49971,7,46.9,81.8,No
211,Finance,33,55472,10,50.6,100.0,Yes
212,Marketing,34,71718,2,44.9,81.2,Yes
213,Finance,32,55639,6,34.3,59.9,No
214,IT,37,46967,3,40.3,86.9,Yes
215,Finance,29,56764,6,46.7,58.5,No
216,Finance,23,62874,5,38.0,48.0,Yes
217,Marketing,51,61435,3,37.5,75.5,No
218,Marketing,51,61633,6,49.9,43.2,No
219,HR,33,45079,4,50.4,56.1,No
220,HR,31,64241,6,47.4,87.3,Yes
221,IT,32,55341,3,41.0,75.7,Yes
222,HR,36,46458,3,42.3,52.0,Yes
223,Finance,37,64145,5,50.6,67.1,Yes
224,Marketing,38,49556,7,37.8,63.6,Yes
225,HR,47,36108,4,33.4,78.6,No
226,HR,23,42992,9,49.1,70.7,Yes
227,IT,33,52820,3,44.0,67.3,Yes
228,IT,47,61939,8,55.5,64.5,Yes
229,Finance,44,44631,4,36.5,48.5,Yes
230,Marketing,39,52112,5,53.6,85.7,No
231,IT,53,40400,8,40.3,71.3,No
232,HR,59,66784,5,51.3,60.1,Yes
233,Marketing,24,75607,5,34.7,61.2,No
234,Marketing,59,74311,4,32.2,63.5,No
235,HR,24,66579,5,47.8,52.7,No
236,IT,51,65350,6,42.8,56.5,No
237,HR,22,30137,5,46.3,79.7,Yes
238,Marketing,51,57126,6,37.2,41.5,No
239,Operations,53,49046,7,47.6,92.9,Yes
240,Operations,49,65565,4,55.2,65.1,No
241,Finance,42,25000,6,53.8,53.1,No
242,HR,34,57315,3,39.6,59.8,Yes
243,HR,48,52426,4,34.9,71.3,Yes
244,Finance,57,68421,7,45.0,57.8,Yes
245,Finance,28,73575,6,51.8,74.9,Yes
246,Finance,43,43853,2,31.5,49.1,No
247,Marketing,31,44395,7,49.9,53.0,Yes
248,HR,36,57765,8,61.1,68.7,Yes
249,Marketing,36,75805,3,50.1,55.7,No
250,Finance,25,55721,7,32.6,94.4,Yes
251,HR,53,39650,6,35.9,77.4,Yes
252,Marketing,44,47729,9,39.5,72.7,Yes
253,Marketing,27,57431,5,43.8,66.7,No
254,Finance,45,57882,6,47.8,59.8,Yes
255,HR,41,46550,4,50.8,61.2,Yes
256,Finance,58,47490,4,42.6,52.5,No
257,HR,41,43221,6,47.0,68.2,No
258,Operations,33,68694,4,36.3,46.3,Yes
259,IT,54,44982,5,39.4,86.9,Yes
260,IT,49,49422,2,52.1,65.9,No
261,IT,29,49080,4,48.6,85.5,Yes
262,Finance,22,35728,5,49.6,78.4,No
263,Operations,58,44639,6,36.7,64.0,No
264,HR,43,69737,5,44.7,71.7,No
265,Marketing,27,40488,8,45.7,58.6,No
266,HR,42,43436,2,47.6,63.6,No
267,Marketing,53,39009,3,53.1,53.4,Yes
268,HR,56,53912,6,45.4,90.0,Yes
269,Operations,36,77625,6,57.7,67.8,No
270,Marketing,26,53407,6,29.3,77.7,No
271,Finance,27,55801,3,42.5,58.4,No
272,HR,46,45454,7,53.3,88.7,No
273,HR,50,54260,7,39.0,54.1,Yes
274,Marketing,28,69748,3,51.7,63.3,No
275,Finance,34,56714,4,45.8,57.9,No
276,Finance,59,80581,2,60.2,69.1,No
277,Operations,39,70113,7,43.8,54.6,Yes
278,Finance,23,53964,7,43.9,73.9,No
279,Finance,29,53730,7,59.4,68.9,Yes
280,Finance,32,74571,5,42.1,62.6,Yes
281,IT,54,56647,6,53.5,49.0,Yes
282,Operations,59,71907,5,47.5,63.8,No
283,HR,48,79034,3,53.7,63.4,No
284,Marketing,41,52549,3,42.2,78.4,No
285,HR,33,59223,8,44.1,60.7,Yes
286,Operations,52,66760,6,42.1,50.3,No
287,Marketing,48,64210,10,29.2,38.4,No
288,Operations,53,64125,7,42.9,82.2,Yes
289,Finance,31,38998,10,70.6,62.3,No
290,Marketing,24,44818,5,39.1,69.9,Yes
291,Finance,48,49056,6,46.2,57.3,No
292,HR,56,69573,5,54.5,56.0,No
293,HR,52,40175,4,49.2,63.6,Yes
294,Marketing,36,73278,5,44.4,52.5,Yes
295,Marketing,37,64358,6,37.8,59.5,Yes
296,Operations,34,68850,3,56.5,75.7,Yes
297,Operations,56,43845,5,53.9,75.5,No
298,Finance,32,55867,3,56.3,57.5,Yes
299,Marketing,42,58587,2,55.5,61.6,No
300,HR,32,58059,6,33.6,36.1,No
301,Operations,51,58547,5,42.2,39.9,No
302,Operations,56,51681,5,47.5,57.3,No
303,HR,43,56622,7,37.4,65.7,Yes
304,Operations,59,67402,7,40.0,45.9,Yes
305,Finance,52,41001,8,50.1,75.6,Yes
306,Marketing,35,73564,3,49.8,77.8,No
307,HR,45,66782,9,59.1,52.4,No
308,Marketing,53,43417,5,39.2,51.7,Yes
309,Operations,57,59606,6,37.6,71.2,Yes
310,Operations,53,65817,2,61.8,90.0,Yes
311,HR,36,40176,8,43.0,58.7,No
312,Finance,56,55503,4,29.8,79.0,Yes
313,IT,24,54057,3,48.2,64.6,Yes
314,HR,37,47253,7,36.4,65.9,No
315,IT,26,56108,8,41.9,62.2,No
316,IT,42,47796,10,33.7,79.0,Yes
317,Finance,31,71491,4,53.9,94.7,No
318,IT,40,47480,4,48.3,77.8,No
319,IT,46,64503,3,34.7,47.3,No
320,Finance,25,35135,6,46.6,61.2,No
321,IT,50,53058,10,50.4,35.8,No
322,IT,40,55147,7,43.3,95.8,Yes
323,IT,23,52668,3,58.2,70.3,No
324,HR,31,50244,8,53.3,53.0,No
325,HR,46,46989,4,41.1,68.9,Yes
326,HR,41,64054,6,43.2,93.3,No
327,Finance,40,66993,7,35.1,52.5,Yes
328,Operations,44,54014,1,31.4,56.4,Yes
329,IT,45,41840,4,38.0,47.4,No
330,IT,32,76527,9,39.4,73.5,No
331,Finance,55,44442,5,55.6,62.9,Yes
332,IT,49,37486,2,34.0,32.6,Yes
333,HR,26,30848,8,45.8,70.1,Yes
334,Operations,26,56193,4,46.7,79.2,Yes
335,Marketing,42,52391,9,39.3,57.0,Yes
336,IT,33,67371,4,53.2,64.3,Yes
337,HR,25,62333,4,42.5,62.0,Yes
338,Marketing,41,58482,5,40.3,75.3,Yes
339,Operations,59,51743,5,58.1,40.2,No
340,Marketing,46,68319,3,38.3,55.1,Yes
341,HR,35,77408,8,51.2,60.4,Yes
342,Marketing,32,67107,5,40.5,76.6,Yes
343,Finance,53,49437,4,35.3,65.0,Yes
344,Marketing,32,64378,5,42.4,45.4,No
345,IT,39,50174,4,63.8,56.4,Yes
346,IT,48,41739,6,33.4,83.9,No
347,Finance,39,44211,3,39.4,45.2,No
348,HR,44,50701,5,54.8,80.4,Yes
349,IT,32,56247,8,37.5,79.0,No
350,Operations,42,79726,7,40.2,83.3,No
351,IT,26,44419,4,46.1,81.5,Yes
352,IT,44,70881,7,43.2,85.4,Yes
353,HR,46,51192,5,49.1,38.1,No
354,Marketing,31,30803,4,42.9,84.6,Yes
355,IT,43,48931,3,45.0,72.4,No
356,Finance,40,69120,6,44.0,56.4,Yes
357,Marketing,22,59136,2,38.5,47.3,Yes
358,Operations,28,59853,5,30.2,65.5,No
359,HR,25,70942,5,60.4,100.0,Yes
360,Operations,22,42563,4,38.4,72.8,Yes
361,Marketing,36,42378,8,38.9,57.7,Yes
362,Marketing,33,27835,2,46.6,100.0,Yes
363,Marketing,43,65524,6,36.7,74.7,No
364,Operations,43,61749,4,52.3,75.2,Yes
365,Marketing,38,63687,6,47.0,69.4,No
366,Operations,50,40803,2,42.8,72.7,Yes
367,Marketing,35,35749,5,41.0,28.0,No
368,Finance,41,39164,3,35.4,67.3,Yes
369,Marketing,54,43929,7,47.5,76.9,No
370,Operations,36,73647,3,46.1,88.7,No
371,IT,33,67001,4,39.8,99.4,Yes
372,Marketing,41,49501,4,49.2,81.6,Yes
373,IT,51,58591,6,57.6,68.2,No
374,Finance,59,46859,6,45.1,66.1,No
375,HR,24,59371,8,43.0,54.5,Yes
376,Finance,49,41342,5,37.3,73.2,No
377,Marketing,47,64003,2,43.7,94.7,Yes
378,IT,51,44803,9,41.6,59.5,No
379,IT,34,64670,4,36.6,67.8,No
380,Operations,34,49870,7,48.6,54.4,Yes
381,IT,23,45519,3,47.2,80.6,Yes
382,Operations,58,74355,8,45.6,83.7,Yes
383,HR,59,57123,2,42.1,54.6,No
384,Marketing,23,51133,2,52.4,73.8,No
385,Operations,57,64098,5,31.0,25.5,No
386,HR,47,38920,2,31.4,60.9,No
387,IT,32,68282,9,46.8,84.3,Yes
388,IT,29,53326,7,55.1,58.0,No
389,HR,43,62209,5,46.0,45.5,No
390,IT,41,36425,3,46.0,75.4,Yes
391,HR,29,50410,4,36.6,63.4,Yes
392,Operations,50,55054,6,27.8,67.9,No
393,Operations,47,67363,5,37.2,70.1,Yes
394,HR,51,63164,2,50.2,78.6,Yes
395,Operations,38,50290,5,32.4,81.2,No
396,Operations,41,58815,6,38.2,70.8,No
397,Operations,37,70078,5,32.5,82.7,Yes
398,Finance,28,52600,6,37.8,64.7,Yes
399,Marketing,37,51293,6,54.1,69.8,No
400,IT,48,32323,2,40.2,65.5,No
401,Finance,44,51651,4,52.3,47.4,Yes
402,Operations,45,34124,6,40.4,87.3,Yes
403,HR,30,53627,2,56.5,65.9,Yes
404,Operations,56,66857,4,47.8,89.0,Yes
405,Marketing,41,29564,3,41.3,72.0,Yes
406,Operations,58,69810,3,43.7,71.4,Yes
407,HR,38,51037,3,33.5,79.3,Yes
408,Marketing,52,54674,4,40.9,69.5,No
409,Operations,29,48970,6,56.4,55.8,Yes
410,Marketing,36,34441,3,47.9,63.0,No
411,IT,52,45604,7,28.3,82.6,Yes
412,IT,51,80168,3,43.6,75.8,Yes
413,Operations,41,41847,3,46.3,52.3,No
414,Marketing,33,35937,11,51.0,69.6,Yes
415,HR,38,56695,2,42.0,50.4,Yes
416,Operations,51,53970,8,44.0,66.5,No
